Code,Name,Aug2019 Home Value,Aug2020 Home Value,Pct Change 2019-20
CA,California,556814,587412,5.5
TX,Texas,208048,215658,3.66
NY,New York,325168,335502,3.18
FL,Florida,246057,258257,4.96
IL,Illinois,205652,209335,1.79
PA,Pennsylvania,195056,204876,5.03
OH,Ohio,150429,160093,6.42
MI,Michigan,173521,182327,5.07
GA,Georgia,202179,213026,5.37
NC,North Carolina,202455,214726,6.06
NJ,New Jersey,340740,353518,3.75
VA,Virginia,284182,296848,4.46
WA,Washington,407470,443350,8.81
MA,Massachusetts,427402,449102,5.08
IN,Indiana,155161,164636,6.11
AZ,Arizona,266591,293397,10.06
TN,Tennessee,182770,196125,7.31
MO,Missouri,162118,170670,5.28
MD,Maryland,311637,322369,3.44
WI,Wisconsin,193357,204948,5.99
MN,Minnesota,257639,270082,4.83
CO,Colorado,399566,418363,4.7
AL,Alabama,140870,149996,6.48
SC,South Carolina,187359,196857,5.07
LA,Louisiana,166653,171504,2.91
KY,Kentucky,146452,153591,4.87
OR,Oregon,355703,374639,5.32
OK,Oklahoma,128447,136104,5.96
CT,Connecticut,259583,269890,3.97
IA,Iowa,152937,156851,2.56
MS,Mississippi,123784,127677,3.14
AR,Arkansas,130593,135958,4.11
KS,Kansas,282070,295029,4.59
UT,Utah,346523,373049,7.65
NV,Nevada,303415,316275,4.24
NM,New Mexico,202764,216112,6.58
WV,West Virginia,105625,107762,2.02
NE,Nebraska,175696,183380,4.37
ID,Idaho,282278,312592,10.74
HI,Hawaii,641418,648194,1.06
ME,Maine,240910,259991,7.92
NH,New Hampshire,291927,310463,6.35
RI,Rhode Island,300938,318115,5.71
MT,Montana,280323,295933,5.57
DE,Delaware,259860,270911,4.25
SD,South Dakota,210767,218416,3.63
AK,Alaska,317302,296168,-6.66
ND,North Dakota,232805,235998,1.37
VT,Vermont,258345,266474,3.15
DC,District of Columbia,624793,636246,1.83
WY,Wyoming,247950,256427,3.42
