Borough,Name,Total Households,Avg Household Size,Avg Family Size,Boro CD
Bronx,Claremont-Bathgate,"10,018",2.98,3.56,203
Bronx,Eastchester-Edenwald-Baychester,"11,864",2.88,3.38,212
Bronx,Bedford Park-Fordham North,"18,473",2.92,3.52,207
Bronx,Belmont,"8,967",2.77,3.44,206
Bronx,Bronxdale,"13,886",2.52,3.23,211
Bronx,West Farms-Bronx River,"11,887",2.93,3.49,209
Bronx,Soundview-Castle Hill-Clason Point-Harding Park,"18,882",2.83,3.38,209
Bronx,Pelham Bay-Country Club-City Island,"11,723",2.24,2.99,210
Bronx,Co-Op City,"19,156",2.20,2.95,210
Bronx,East Concourse-Concourse Village,"21,437",2.82,3.50,204
Bronx,East Tremont,"14,617",2.89,3.50,206
Bronx,North Riverdale-Fieldston-Riverdale,"11,598",2.11,2.89,208
Bronx,Highbridge,"12,657",2.92,3.48,204
Bronx,Hunts Point,"8,638",3.03,3.54,202
Bronx,Van Cortlandt Village,"17,959",2.73,3.34,208
Bronx,Spuyten Duyvil-Kingsbridge,"13,553",2.15,2.90,208
Bronx,Kingsbridge Heights,"10,457",2.97,3.54,207
Bronx,Allerton-Pelham Gardens,"9,571",2.85,3.37,211
Bronx,Longwood,"8,361",2.99,3.54,202
Bronx,Melrose South-Mott Haven North,"12,959",2.97,3.51,201
Bronx,Morrisania-Melrose,"12,531",2.94,3.47,203
Bronx,University Heights-Morris Heights,"17,820",2.97,3.48,205
Bronx,Van Nest-Morris Park-Westchester Square,"10,025",2.83,3.41,211
Bronx,Mott Haven-Port Morris,"16,991",3.02,3.59,201
Bronx,Fordham South,"8,601",3.21,3.64,205
Bronx,Mount Hope,"16,555",3.06,3.57,205
Bronx,Norwood,"14,288",2.78,3.41,207
Bronx,Williamsbridge-Olinville,"21,532",2.79,3.40,212
Bronx,Parkchester,"12,950",2.30,3.03,209
Bronx,Pelham Parkway,"11,497",2.50,3.19,211
Bronx,Schuylerville-Throgs Neck-Edgewater Park,"16,665",2.56,3.17,210
Bronx,Soundview-Bruckner,"11,841",2.96,3.49,209
Bronx,Westchester-Unionport,"9,232",2.92,3.49,209
Bronx,Woodlawn-Wakefield,"15,603",2.71,3.32,212
Bronx,West Concourse,"12,787",3.06,3.58,204
Bronx,Crotona Park East,"7,019",2.84,3.42,203
Bronx,Rikers Island,0,-,-,401
Bronx,park-cemetery-etc-Bronx,849,2.24,2.95,212
Brooklyn,Brooklyn Heights-Cobble Hill,"11,326",1.79,2.69,302
Brooklyn,Sheepshead Bay-Gerritsen Beach-Manhattn Bch,"26,236",2.42,3.07,315
Brooklyn,Brighton Beach,"15,309",2.30,3.03,313
Brooklyn,Seagate-Coney Island,"11,639",2.64,3.37,313
Brooklyn,West Brighton,"9,182",1.93,2.56,313
Brooklyn,Homecrest,"16,188",2.73,3.45,315
Brooklyn,Gravesend,"11,573",2.54,3.21,313
Brooklyn,Bath Beach,"11,324",2.63,3.28,311
Brooklyn,Bensonhurst West,"30,774",2.86,3.43,311
Brooklyn,Bensonhurst East,"22,795",2.76,3.35,311
Brooklyn,Dyker Heights,"15,101",2.79,3.39,310
Brooklyn,Bay Ridge,"34,722",2.26,3.15,310
Brooklyn,Sunset Park West,"16,240",3.18,3.69,307
Brooklyn,Carroll Gardens-Columbia Street-Red Hook,"17,492",2.16,2.92,306
Brooklyn,Sunset Park East,"19,954",3.62,4.00,307
Brooklyn,Stuyvesant Heights,"24,641",2.53,3.28,303
Brooklyn,Park Slope-Gowanus,"30,493",2.19,2.92,306
Brooklyn,DUMBO-Vinegar Hill-Downtown Brklyn-Boerum Hill,"14,470",2.23,3.05,302
Brooklyn,Windsor Terrace,"9,214",2.27,3.00,307
Brooklyn,Kensington-Ocean Parkway,"12,210",2.99,3.76,312
Brooklyn,Flatbush,"37,190",2.83,3.51,314
Brooklyn,Midwood,"18,881",2.78,3.57,314
Brooklyn,Madison,"14,639",2.65,3.31,315
Brooklyn,Georgetown-Marine Park-Bergen Beach-Mill Basin,"16,477",2.74,3.30,318
Brooklyn,Ocean Parkway South,"6,922",2.93,3.73,312
Brooklyn,Canarsie,"27,977",2.96,3.42,318
Brooklyn,Flatlands,"21,831",2.96,3.51,318
Brooklyn,Prospect Lefferts Gardens-Wingate,"25,779",2.55,3.26,309
Brooklyn,Crown Heights North,"40,676",2.49,3.24,308
Brooklyn,Crown Heights South,"14,467",2.72,3.48,309
Brooklyn,Prospect Heights,"9,183",2.13,2.88,308
Brooklyn,Fort Greene,"11,273",2.13,2.98,302
Brooklyn,Clinton Hill,"15,265",2.17,3.08,302
Brooklyn,Williamsburg,"8,377",3.90,4.52,301
Brooklyn,North Side-South Side,"18,723",2.43,3.37,301
Brooklyn,Bedford,"24,810",2.82,3.70,303
Brooklyn,Greenpoint,"16,001",2.16,2.88,301
Brooklyn,Bushwick North,"17,844",3.15,3.64,304
Brooklyn,Bushwick South,"24,667",2.89,3.54,304
Brooklyn,Ocean Hill,"11,782",2.65,3.31,316
Brooklyn,Brownsville,"20,360",2.79,3.37,316
Brooklyn,East New York,"30,806",2.94,3.48,305
Brooklyn,Cypress Hills-City Line,"14,013",3.50,3.85,305
Brooklyn,East New York (Pennsylvania Ave),"9,665",2.96,3.45,305
Brooklyn,Borough Park,"28,645",3.69,4.35,312
Brooklyn,East Williamsburg,"14,972",2.26,3.00,301
Brooklyn,East Flatbush-Farragut,"17,257",2.91,3.43,317
Brooklyn,Starrett City,"6,258",2.11,2.88,305
Brooklyn,Erasmus,"10,488",2.79,3.40,317
Brooklyn,Rugby-Remsen Village,"20,307",2.70,3.24,317
Brooklyn,park-cemetery-etc-Brooklyn,438,2.67,3.41,318
Manhattan,Marble Hill-Inwood,"18,129",2.58,3.28,112
Manhattan,Central Harlem North-Polo Grounds,"32,722",2.24,3.11,110
Manhattan,Hamilton Heights,"18,387",2.61,3.38,109
Manhattan,Manhattanville,"7,991",2.81,3.54,109
Manhattan,Morningside Heights,"21,236",2.10,2.91,109
Manhattan,Central Harlem South,"18,253",2.26,3.13,110
Manhattan,Upper West Side,"68,272",1.89,2.81,107
Manhattan,Hudson Yards-Chelsea-Flat Iron-Union Square,"40,887",1.65,2.66,104
Manhattan,Lincoln Square,"34,216",1.74,2.67,107
Manhattan,Clinton,"27,215",1.65,2.62,104
Manhattan,Midtown-Midtown South,"16,940",1.57,2.41,105
Manhattan,Turtle Bay-East Midtown,"31,555",1.59,2.46,106
Manhattan,Murray Hill-Kips Bay,"28,756",1.66,2.53,106
Manhattan,Gramercy,"15,855",1.57,2.54,106
Manhattan,East Village,"23,116",1.67,2.60,103
Manhattan,West Village,"38,582",1.60,2.57,102
Manhattan,SoHo-TriBeCa-Civic Center-Little Italy,"20,923",1.96,2.86,101
Manhattan,Battery Park City-Lower Manhattan,"20,717",1.84,2.61,101
Manhattan,Chinatown,"18,494",2.46,3.29,103
Manhattan,Lower East Side,"30,578",2.32,3.13,103
Manhattan,Lenox Hill-Roosevelt Island,"45,312",1.71,2.69,108
Manhattan,Yorkville,"44,536",1.73,2.69,108
Manhattan,East Harlem South,"23,068",2.34,3.15,111
Manhattan,East Harlem North,"22,736",2.50,3.28,111
Manhattan,Washington Heights North,"25,313",2.59,3.32,112
Manhattan,Washington Heights South,"29,097",2.87,3.52,112
Manhattan,Upper East Side-Carnegie Hill,"30,345",1.99,2.78,108
Manhattan,Stuyvesant Town-Cooper Village,"10,612",1.98,2.62,106
Manhattan,park-cemetery-etc-Manhattan,3,1.67,2.00,111
Queens,South Jamaica,"11,988",3.19,3.70,412
Queens,Springfield Gardens North,"10,230",2.46,3.19,412
Queens,Springfield Gardens South-Brookville,"5,824",3.26,3.59,413
Queens,Rosedale,"7,572",3.30,3.63,413
Queens,Jamaica Estates-Holliswood,"9,327",2.65,3.29,408
Queens,Hollis,"6,109",3.26,3.72,412
Queens,St. Albans,"15,054",3.18,3.60,412
Queens,Breezy Point-Belle Harbor-Rockwy Prk-Broad Chnl,"11,244",2.36,3.09,414
Queens,Hammels-Arverne-Edgemere,"12,730",2.77,3.37,414
Queens,Far Rockaway-Bayswater,"16,446",2.91,3.65,414
Queens,Forest Hills,"39,447",2.11,2.88,406
Queens,Rego Park,"12,217",2.31,3.01,406
Queens,Glendale,"12,007",2.70,3.23,405
Queens,Ridgewood,"23,928",2.89,3.36,405
Queens,Middle Village,"15,222",2.47,3.07,405
Queens,Flushing,"26,483",2.68,3.15,407
Queens,College Point,"7,853",3.02,3.46,407
Queens,Corona,"16,868",3.37,3.76,404
Queens,North Corona,"11,947",4.34,4.22,403
Queens,East Elmhurst,"6,451",3.48,3.86,403
Queens,Jackson Heights,"36,652",2.93,3.46,403
Queens,Elmhurst,"27,247",3.24,3.60,404
Queens,Maspeth,"11,064",2.74,3.27,405
Queens,Hunters Point-Sunnyside-West Maspeth,"26,357",2.37,3.13,402
Queens,Cambria Heights,"5,956",3.13,3.50,413
Queens,Queens Village,"15,306",3.41,3.75,413
Queens,Briarwood-Jamaica Hills,"13,508",2.81,3.49,408
Queens,Kew Gardens Hills,"13,641",2.67,3.30,408
Queens,Pomonok-Flushing Heights-Hillcrest,"11,795",2.70,3.26,408
Queens,Fresh Meadows-Utopia,"6,652",2.67,3.25,408
Queens,Oakland Gardens,"11,197",2.52,3.14,411
Queens,Bellerose,"8,248",2.96,3.50,413
Queens,Glen Oaks-Floral Park-New Hyde Park,"8,937",2.39,3.23,413
Queens,Douglas Manor-Douglaston-Little Neck,"9,689",2.54,3.14,411
Queens,Bayside-Bayside Hills,"15,811",2.74,3.28,411
Queens,Ft. Totten-Bay Terrace-Clearview,"10,346",2.10,2.82,407
Queens,Auburndale,"7,073",2.82,3.30,411
Queens,Whitestone,"11,659",2.62,3.14,407
Queens,Elmhurst-Maspeth,"8,092",3.14,3.52,402
Queens,Murray Hill,"18,145",2.81,3.23,407
Queens,East Flushing,"8,646",3.11,3.46,407
Queens,Woodhaven,"17,003",3.33,3.72,409
Queens,Richmond Hill,"17,594",3.55,3.89,409
Queens,South Ozone Park,"21,653",3.49,3.79,410
Queens,Ozone Park,"6,943",3.08,3.56,410
